time,open,high,low,close,volume
2024-01-02 00:00:00,1.0932,1.0935,1.0928,1.0930,1200
2024-01-02 01:00:00,1.0930,1.0937,1.0926,1.0934,1180
2024-01-02 02:00:00,1.0934,1.0942,1.0930,1.0938,1250
2024-01-02 03:00:00,1.0938,1.0940,1.0933,1.0935,1100
2024-01-02 04:00:00,1.0935,1.0939,1.0929,1.0931,1150
2024-01-02 05:00:00,1.0931,1.0934,1.0927,1.0930,1175
2024-01-02 06:00:00,1.0930,1.0938,1.0928,1.0936,1235
2024-01-02 07:00:00,1.0936,1.0944,1.0931,1.0939,1290
2024-01-02 08:00:00,1.0939,1.0946,1.0934,1.0942,1310
2024-01-02 09:00:00,1.0942,1.0948,1.0936,1.0944,1285
2024-01-02 10:00:00,1.0944,1.0949,1.0938,1.0941,1220
